Notification Date,School,City,School District,Health Region,Exposure Dates,Extra Info
04/17/2021,Yale Secondary,Abbotsford,34,Fraser Health Authority,April 14,Exposure 18
04/17/2021,York House School,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,"""April 12, 13""",Exposure 9
04/17/2021,Eugene Reimer Middle School,Abbotsford,34,Fraser Health Authority,"""April 5, 6, 7, 8. 9, 12""",Exposure 15
04/17/2021,Sir Richard McBride Elementary (Vancouver),Vancouver,39,Vancouver Coastal Health,"""April 8, 9""",Exposure 7
04/17/2021,des Pionniers-de-Maillardville,Port Coquitlam,93,Fraser Health Authority,"""April 12, 13""",Exposure 9
04/17/2021,Lakeview Elementary,Burnaby,41,Fraser Health Authority,April 7 and 8,Exposure 4
04/17/2021,Gilpin Elementary,Burnaby,41,Fraser Health Authority,"""April 12, 13, and 14""",Exposure 6
04/17/2021,Peter Ewart Middle School,Langley,35,Fraser Health Authority,April 12,Exposure 7
04/17/2021,Ellison Elementary,Kelowna,23,Interior Health Authority,April 12,Exposure 3
04/17/2021,Maple Bay Elementary,Duncan,79,Vancouver Island Health Authority,"""April 12, 13, 14, 15""",Exposure 1
04/17/2021,Semiahmoo Secondary,Surrey,36,Fraser Health Authority,April 9,Exposure 24
04/17/2021,Pleasant Valley Elementary,Nanaimo,68,Vancouver Island Health Authority,"""April 13, 14, 15""",Exposure 2
04/17/2021,Windermere Community Secondary,Vancouver,39,Vancouver Coastal Health,"""April 12, 13, 14""",Exposure 6
04/17/2021,Langley Christian (Middle and High),Langley,Independent Schools in Fraser Health,Fraser Health Authority,"""April 7, 8, 9, and 12""",Exposure 4
04/17/2021,Sunshine Hills Elementary,Delta,37,Fraser Health Authority,April 12 and 13,Exposure 4
04/17/2021,Robert Bateman Secondary,Abbotsford,34,Fraser Health Authority,"""April 8, 9, 12, 13, 14""",Exposure 12
04/17/2021,St. George's Junior School,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Not provided,Exposure 3
04/17/2021,Rockridge Secondary,West Vancouver,45,Vancouver Coastal Health,"""April 12, 13""",Exposure 9
04/17/2021,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,"""April 12, 13, 14""",Exposure 52
04/17/2021,Burnaby Central Secondary,Burnaby,41,Fraser Health Authority,April 13,Exposure 17
04/17/2021,Lyndhurst Elementary,Burnaby,41,Fraser Health Authority,April 12,Exposure 1
04/17/2021,Fleetwood Park Secondary,Surrey,36,Fraser Health Authority,April 12,Exposure 27
04/17/2021,Fleetwood Park Secondary,Surrey,36,Fraser Health Authority,"""April 6, 7""",Exposure 28
04/17/2021,Seycove Secondary Community,North Vancouver,44,Vancouver Coastal Health,"""April 14, 15, and 16""",Exposure 5
04/17/2021,Ecole Rochester Elementary,Coquitlam,43,Fraser Health Authority,April 9 (Dates on the BCCDC webpage),Exposure 2
04/17/2021,Gladstone Secondary,Vancouver,39,Vancouver Coastal Health,April 9,Exposure 14
04/17/2021,Fleetwood Park Secondary,Surrey,36,Fraser Health Authority,"""April 8, 9""",Exposure 26
04/17/2021,Mary Jane Shannon Elementary,Surrey,36,Fraser Health Authority,April 12,Exposure 6
04/17/2021,Old Yale Road Elementary,Surrey,36,Fraser Health Authority,April 12,Exposure 5
04/17/2021,St John Brebeuf,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,April 6 and 7,Exposure 11
04/17/2021,St. Mary's School (Chilliwack),Chilliwack,Independent Schools in Fraser Health,Fraser Health Authority,April 12,Exposure 1
04/17/2021,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,"""April 13, 14""",Exposure 19
04/17/2021,Chilliwack Secondary,Chilliwack,33,Fraser Health Authority,"""April 12, 13""",One class has been asked to self-isolate (Documentation on file).
04/17/2021,Lynnmour/Xa7elcha Elementary School,North Vancouver,44,Vancouver Coastal Health,"""April 13, 14""",Exposure 3
04/17/2021,Larson Elementary,North Vancouver,44,Vancouver Coastal Health,"""April 13, 14, 15""",Exposure 4
04/17/2021,"""Central School (Central Program and Services, Richter Site)""",Kelowna,23,Interior Health Authority,"""April 8, 9""",Exposure 3
04/16/2021,Pacific Academy Middle School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,April 14,A division has been asked to isolate. Documentation on file.
04/16/2021,Queen of All Saints Elementary,Coquitlam,Independent Schools in Fraser Health,Fraser Health Authority,April 13 (Dates on the BCCDC webpage),A full class is moving to online learning.
04/16/2021,Maple Ridge Secondary,Maple Ridge,42,Fraser Health Authority,April 9,Exposure 11
04/16/2021,Lord Byng Elementary,Richmond,38,Vancouver Coastal Health,April 12 and 13,Exposure 2
04/16/2021,Sunnyside Elementary,Surrey,36,Fraser Health Authority,April 9,Exposure 6
04/16/2021,Blue Jay Elementary,Abbotsford,34,Fraser Health Authority,"""April 12, 13""",Exposure 9
04/16/2021,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,April 12,Exposure 18
04/16/2021,Elgin Park Secondary,Surrey,36,,"""April 8, 9""",Exposure 11
04/16/2021,Rockridge Secondary,West Vancouver,45,Vancouver Coastal Health,"""April 7, 8, and 12""",Exposure 8
04/16/2021,Windsor Secondary,North Vancouver,44,Vancouver Coastal Health,April 12 and 13,"""Letter states 3 cases - we have listed them as Exposures 7, 8 and 9"""
04/16/2021,Windsor Secondary,North Vancouver,44,Vancouver Coastal Health,April 12 and 13,"""Letter states 3 cases - we have listed them as Exposures 7, 8 and 9"""
04/16/2021,Ecole Frank Ross Elementary,Dawson Creek,59,Northern Health,"""April 6, 7, 8, and 9""",Exposure 5
04/16/2021,Seaquam Secondary,Delta,37,Fraser Health Authority,April 12,Exposure 15
04/16/2021,Houston Christian School,Houston,Independent Schools in Northern Health,Northern Health,"""April 7, 8, 9, 12, and 13""",Exposure 2
04/16/2021,Traditional Learning Academy Online,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,April 7,Exposure 2
04/16/2021,Ross Road Elementary,North Vancouver,44,Vancouver Coastal Health,April 12,Exposure 2
04/16/2021,Green Timbers Elementary,Surrey,36,Fraser Health Authority,April 12,Exposure 10
04/16/2021,Rutland Elementary,Kelowna,23,Interior Health Authority,Not provided,Exposure 2
04/16/2021,St. George's Senior School,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,April 12 (Date on the BCCDC webpage),Exposure 15
04/16/2021,David Brankin Elementary,Surrey,36,Fraser Health Authority,"""April 7, 9""",Exposure 15
04/16/2021,St Thomas More Collegiate,Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,"""April 7, 8""",Exposure 5
04/16/2021,John Oliver Secondary,Vancouver,39,Vancouver Coastal Health,"""April 7, 8, and 13""",Exposure 24
04/16/2021,St Thomas More Collegiate,Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,April 8,Exposure 6
04/16/2021,John Oliver Secondary,Vancouver,39,Vancouver Coastal Health,"""April 7, 8, and 13""",Documentation states 2 members have tested positive. We have listed them as Exposure 24 and 25.
04/16/2021,Khalsa Elementary School Old Yale Road,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,April 8 and 9,Exposure 7
04/16/2021,Laronde Elementary,Surrey,36,Fraser Health Authority,"""April 6, 7, 8, 9, and 12""",Documentation on file showing that this is a different exposure than the one we have listed as Exposure 3 with the same dates.
04/16/2021,R E Mountain Secondary,Langley,35,Fraser Health Authority,April 8 and 9,Exposure 19
04/16/2021,Sir Winston Churchill Secondary,Vancouver,39,Vancouver Coastal Health,April 9,Exposure 11
04/16/2021,Centennial Secondary School,Coquitlam,43,Fraser Health Authority,April 8 and 9,Exposure 15
04/16/2021,J Lloyd Crowe Secondary,Trail,20,Interior Health Authority,April 13,Exposure 2
04/16/2021,Charles Dickens Elementary,Vancouver,39,Vancouver Coastal Health,April 12,Exposure 2
04/16/2021,Cherry Hill Elementary,Mission,75,Fraser Health Authority,April 8 and 9,Exposure 1
04/16/2021,Yale Secondary,Abbotsford,34,Fraser Health Authority,April 12,Exposure 16
04/16/2021,Surrey Traditional,Surrey,36,Fraser Health Authority,April 7 and 8,Exposure 11
04/16/2021,Canyon Heights Elementary,North Vancouver,44,Vancouver Coastal Health,"""April 12, 13, and 14""",Exposure 3
04/16/2021,Eugene Reimer Middle School,Abbotsford,34,Fraser Health Authority,April 12,Exposure 14
04/16/2021,Charles Dickens Elementary,Vancouver,39,Vancouver Coastal Health,"""April 5, 6, 12, and 13""",Exposure 3
04/16/2021,Brackendale Elementary,,48,Vancouver Coastal Health,Not provided,Exposure 3
04/16/2021,Robertson Elementary,Chilliwack,33,Fraser Health Authority,"""April 7, 8, and 9""",Exposure 3
04/16/2021,Abbotsford Senior Secondary School,Abbotsford,34,Fraser Health Authority,April 9,Exposure 21
04/16/2021,Prince Charles Elementary (Abbotsford),Abbotsford,34,Fraser Health Authority,April 9 and 12,Exposure 2
04/16/2021,Carisbrooke Elementary,North Vancouver,44,Vancouver Coastal Health,April 12,Exposure 7
04/16/2021,Clayburn Middle School,Abbotsford,34,Fraser Health Authority,April 9,Exposure 3
04/16/2021,Victor-Brodeur,Victoria,93,Vancouver Island Health Authority,"""April 12, 13, and 14""",Exposure 1
04/16/2021,Argyle Secondary,North Vancouver,44,Vancouver Coastal Health,April 12,Exposure 14
04/16/2021,Walnut Road Elementary,Surrey,36,Fraser Health Authority,April 14,Exposure 7
04/16/2021,Rose Valley Elementary,West Kelowna,23,Interior Health Authority,"""April 12, 13, 14""",Exposure 6
04/16/2021,Rose Valley Elementary,West Kelowna,23,Interior Health Authority,"""April 6, 7, 8, 9""",Exposure 5
04/16/2021,Fraser Heights Secondary,Surrey,36,Fraser Health Authority,April 9,Exposure 11
04/16/2021,Vancouver Christian,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,April 9,Exposure 13
04/16/2021,T E Scott Elementary,Surrey,36,Fraser Health Authority,April 6 and 7,Exposure 15
04/16/2021,Windsor Secondary,North Vancouver,44,Vancouver Coastal Health,April 12 and 13,"""Letter states 3 cases - we have listed them as Exposures 7, 8 and 9"""
04/16/2021,King Traditional Elementary,Abbotsford,34,Fraser Health Authority,"""March 31, April 1, 2, 3, 4, 5, 6, 7, 8, 9""",One division asked to isolate.
04/16/2021,Ecole Alpha Secondary,Burnaby,41,Fraser Health Authority,April 8 and 9,One class has been asked to self-isolate. (Documentation on file)
04/16/2021,L A Matheson Secondary,Surrey,36,Fraser Health Authority,April 9 and 13,Exposure 34
04/16/2021,H.J. Cambie Secondary School,Richmond,38,Vancouver Coastal Health,April 12,Exposure 7
04/16/2021,Laronde Elementary,Surrey,36,Fraser Health Authority,"""April 6, 7, 8, 9, and 12""",Exposure 3
04/16/2021,Pinetree Secondary,Coquitlam,43,Fraser Health Authority,April 9,Exposure 9
04/16/2021,Enver Creek Secondary,Surrey,36,Fraser Health Authority,April 12 and 13,Exposure 42
04/16/2021,Ecole Glen Elementary,Coquitlam,43,Fraser Health Authority,April 9,Exposure 8
04/16/2021,W D Ferris Elementary,Richmond,38,Vancouver Coastal Health,"""April 7, 8, 12, 13""",Exposure 2
04/16/2021,Pemberton Secondary,Pemberton,48,Vancouver Coastal Health,April 12 (date on the BCCDC webpage),Exposure 2
04/16/2021,Ecole Squamish Elementary,Squamish,48,Vancouver Coastal Health,April 12 and 13 (Dates on the BCCDC webpage),Exposure 4
04/16/2021,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,April 8 and 9 (Dates on the BCCDC webpage),Exposure 16
04/15/2021,Pacific Christian School (Victoria),Victoria,Independent Schools in Island Health,Vancouver Island Health Authority,April 8,Exposure 1
04/15/2021,Mount Boucherie Secondary School,West Kelowna,23,Interior Health Authority,"""April 6, 7, 8, and 9""",Letter states 'members' so we have added this as Exposure 8 and 9.
04/15/2021,Pacific Academy Middle School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,April 9,This is an additional case to exposure 11 with the same date - this is shown by there now being 2 cases listed on the documentation instead of 1.
04/15/2021,Ecole Dr Charles Best Secondary,Coquitlam,43,Fraser Health Authority,April 6 and 8,Exposure 9
04/15/2021,Immaculate Conception School (Vancouver),Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,April 12 and 13,Exposure 3
04/15/2021,Chalmers Elementary,Delta,37,Fraser Health Authority,April 12,Exposure 12
04/15/2021,Eagle Mountain Middle School,Anmore,43,Fraser Health Authority,April 8 and 9,Exposure 9
04/15/2021,Ecole Citadel Middle,Port Coquitlam,43,Fraser Health Authority,"""April 7, 8, and 9""",Exposure 7
04/15/2021,Peter Ewart Middle School,Langley,35,Fraser Health Authority,April 6 and 7,Exposure 6
04/15/2021,Heritage Woods Secondary,Port Moody,43,Fraser Health Authority,April 12,Exposure 18
04/15/2021,Delview Secondary,Delta,37,Fraser Health Authority,April 9,Exposure 16
04/15/2021,Port Kells Elementary,Surrey,36,Fraser Health Authority,April 12,Exposure 3
04/15/2021,Alouette Elementary,Maple Ridge,42,Fraser Health Authority,"""April 6, 7, 8, and 9""",Exposure 7
04/15/2021,Albert McMahon Elementary,Mission,75,Fraser Health Authority,"""April 7, 8, and 9""",Exposure 4
04/15/2021,Robert Bateman Secondary,Abbotsford,34,Fraser Health Authority,April 12,Exposure 11
04/15/2021,St Michael’s Elementary (Burnaby),Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,April 9 and 12,Exposure 7
04/15/2021,Sherwood Park Elementary,North Vancouver,44,Vancouver Coastal Health,April 12 and 13,Exposure 2
04/15/2021,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,April 8 and 9,Exposure 42
04/15/2021,Ridgeview Elementary,West Vancouver,45,Vancouver Coastal Health,"""April 12, 13""",Exposure 4
04/15/2021,Gilpin Elementary,Burnaby,41,Fraser Health Authority,April 9,Exposure 5
04/15/2021,Chute Lake Elementary,Kelowna,23,Interior Health Authority,April 6,Exposure 4
04/15/2021,Notre Dame (Dawson Creek),Dawson Creek,Independent Schools in Northern Health,Northern Health,April 7,Exposure 6
04/15/2021,Brookside Elementary,Surrey,36,Fraser Health Authority,April 9,Exposure 13
04/15/2021,Morley Elementary,Burnaby,41,Fraser Health Authority,April 9,Exposure 6
04/15/2021,Dorothy Lynas Elementary,North Vancouver,44,Vancouver Coastal Health,April 12 and 13,Exposure 2
04/15/2021,Queensbury Elementary,North Vancouver,44,Vancouver Coastal Health,April 9,Exposure 1
04/15/2021,Carisbrooke Elementary,North Vancouver,44,Vancouver Coastal Health,"""April 12, 13""",Exposure 6
04/15/2021,John Knox Christian - Elementary Campus,Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,April 12,Exposure 1
04/15/2021,General Brock Elementary,Vancouver,39,Vancouver Coastal Health,"""April 12, 13""",Exposure 3
04/15/2021,Samuel Robertson Technical Secondary,Maple Ridge,42,Fraser Health Authority,"""April 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, and 14""",Exposure 12
04/15/2021,Terry Fox Secondary,Port Coquitlam,43,Fraser Health Authority,April 12,Exposure 14
04/15/2021,Sunrise Ridge Elementary,Surrey,36,Fraser Health Authority,April 8,Exposure 11
04/15/2021,Lord Beaconsfield Elementary,Vancouver,39,Vancouver Coastal Health,"""April 6, 9""",Exposure 3
04/15/2021,Blue Jay Elementary,Abbotsford,34,Fraser Health Authority,April 12,Exposure 8
04/15/2021,Dorothea Walker Elementary,Kelowna,23,Interior Health Authority,"""April 8, 9""",Exposure 3
04/15/2021,Helen Gorman Elementary,West Kelowna,23,Interior Health Authority,April 9,Exposure 2
04/15/2021,Ecole Kilmer Elementary,Port Coquitlam,43,Fraser Health Authority,April 6 and 7,Exposure 2
04/15/2021,T E Scott Elementary,Surrey,36,Fraser Health Authority,April 8 and 9,Exposure 14
04/15/2021,Lake City Secondary (Williams Lake Campus),Williams Lake,27,Interior Health Authority,"""April 6, 7, and 8""",Exposure 6
04/15/2021,Enver Creek Secondary,Surrey,36,Fraser Health Authority,"""April 7, 8, 9""",Exposure 41
04/15/2021,Holy Cross Elementary School (Burnaby),Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,April 9,Exposure 10
04/15/2021,Pitt Meadows Elementary,Pitt Meadows,42,Fraser Health Authority,April 8 and 9,Exposure 4
04/15/2021,Heritage Woods Secondary,Port Moody,43,Fraser Health Authority,April 10,Exposure 19
04/15/2021,Fraser Heights Secondary,Surrey,36,Fraser Health Authority,April 9,Exposure 10
04/15/2021,Vancouver Christian,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,April 12,Exposure 12
04/15/2021,Twain Sullivan Elementary,Houston,54,Northern Health,"""April 7, 8, 9, 12, and 13""",Exposure 2
04/15/2021,Ross Elementary,Abbotsford,34,Fraser Health Authority,April 8 and 9,Exposure 4
04/15/2021,Ecole Willow Point Elementary,Campbell River,72,Vancouver Island Health Authority,April 12 and 13,Exposure 2
04/15/2021,Brookside Elementary,Surrey,36,Fraser Health Authority,April 12,Exposure 12
04/15/2021,Silverthorne Elementary,Houston,54,Northern Health,"""April 7, 8, 9, 12 and 13""",Exposure 2
04/15/2021,North Star Montessori Elementary School,North Vancouver,44,Vancouver Coastal Health,"""April 6, 7, 8, 9, and 14""",Exposure 1
04/15/2021,The Westside School,Vancouver,39,Vancouver Coastal Health,April 7 and 8,Exposure 1
04/15/2021,BC Muslim School,Richmond,Independent Schools in Coastal Health,Vancouver Coastal Health,April 12,Exposure 4
04/15/2021,Britannia Community Elementary,Vancouver,39,Vancouver Coastal Health,April 13,Exposure 3
04/15/2021,Penticton Christian School,Penticton,67,Interior Health Authority,April 6 and 7,Exposure 2
04/15/2021,Dawson Creek Secondary,Dawson Creek,59,Northern Health,"""March 30, 31, and April 1""",Exposure 12 - South Peace Campus
04/15/2021,Energetic Learning Campus,,60,Northern Health,April 8 and 9,Exposure 4
04/15/2021,Houston Secondary,Houston,54,Northern Health,"""April 7, 8, 9, 12, and 13""",Exposure 4
04/15/2021,Sir Wilfred Laurier Elementary,Vancouver,39,Vancouver Coastal Health,April 13,Exposure 3
04/15/2021,Merritt Secondary,Merritt,58,Interior Health Authority,"""April 8, 9""",Exposure 6
04/15/2021,Pleasant Valley Elementary,Nanaimo,68,Vancouver Island Health Authority,April 13,Exposure 1
04/15/2021,Sullivan Heights Secondary,Surrey,36,Fraser Health Authority,"""April 5, 6, and 7""",Exposure 41
04/15/2021,David Lloyd George Elementary (Vancouver),Vancouver,39,Vancouver Coastal Health,April 6,Exposure 1
04/15/2021,Bonaccord Elementary,Surrey,36,Fraser Health Authority,April 6 and 7,Full class isolating
04/15/2021,Sullivan Heights Secondary,Surrey,36,Fraser Health Authority,April 12,Exposure 42
04/15/2021,West Heights Elementary,Mission,75,Fraser Health Authority,"""April 8, 9""",Exposure 3
04/15/2021,Ecole Pitt River Middle,Port Coquitlam,43,Fraser Health Authority,April 7 and 8,Exposure 8
04/15/2021,Summit Middle School,Coquitlam,43,Fraser Health Authority,April 12 (Date on the BCCDC webpage).,Exposure 9
04/15/2021,Canyon Heights Elementary,North Vancouver,44,Vancouver Coastal Health,"""April 8, 9""",Exposure 2
04/15/2021,Kirkbride Elementary,Surrey,36,Fraser Health Authority,April 9,Exposure 6
04/15/2021,Brookswood Secondary,Langley,35,Fraser Health Authority,"""March 31, April 1, 6, 7, 8 and 9""",Exposure 15
04/15/2021,Woodward Hill Elementary,Surrey,36,Fraser Health Authority,April 7 and 8,Exposure 17
04/15/2021,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,April 9,Exposure 51
04/15/2021,Cougar Creek Elementary,Surrey,36,Fraser Health Authority,April 12,Exposure 17
04/15/2021,Sir Sandford Fleming Elementary,Vancouver,39,Vancouver Coastal Health,"""April 8, 9""",Exposure 4
04/15/2021,Armstrong Elementary (Burnaby),Burnaby,41,Fraser Health Authority,"""April 7, 8, 9""",Exposure 7
04/15/2021,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,"""April 7, 8""",Exposure 50
04/15/2021,A.R. MacNeill Secondary,Richmond,38,Vancouver Coastal Health,April 12 (Date on the BCCDC webpage),Exposure 5
04/15/2021,Matthew McNair Secondary,Richmond,38,Vancouver Coastal Health,April 8 and 9 (Dates on the BCCDC webpage),Exposure 7
04/15/2021,Watson Road Elementary,Kelowna,23,Interior Health Authority,April 9 (Date on the BCCDC webpage),Exposure 4
04/15/2021,Collingwood School (Morven Campus),West Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,April 12 and 13 (Dates on the BCCDC webpage),Exposure 11
04/15/2021,Ecole Glen Elementary,Coquitlam,43,Fraser Health Authority,April 12,Exposure 7
04/15/2021,Urban Academy Junior,New Westminster,Independent Schools in Fraser Health,Fraser Health Authority,"""April 12, 13, and 14 (Dates on the BCCDC webpage)""",Exposure 1
04/15/2021,Rosemont Elementary School,Nelson,8,Interior Health Authority,April 12 and 13 (Dates on the BCCDC webpage),Exposure 2
04/15/2021,Pacific Academy Middle School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,April 12 (document on file),One class has been asked to self-isolate (Documentation on file)
04/14/2021,Sullivan Heights Secondary,Surrey,36,Fraser Health Authority,"""April 6, 7, 8, and 9""",Exposure 40
04/14/2021,Morley Elementary,Burnaby,41,Fraser Health Authority,April 7 and 8,Exposure 5
04/14/2021,Heritage Woods Secondary,Port Moody,43,Fraser Health Authority,April 8,Exposure 17
04/14/2021,Albert McMahon Elementary,Mission,75,Fraser Health Authority,April 9,Exposure 3
04/14/2021,Pitt Meadows Secondary,Pitt Meadows,42,Fraser Health Authority,"""April 6, 7, 8, 9""",Exposure 9
04/14/2021,Fleetwood Park Secondary,Surrey,36,Fraser Health Authority,April 9,Exposure 25
04/14/2021,Summerland Montessori School,Summerland,Independent Schools in Interior Health,Interior Health Authority,"""April 6, 7, 8""",Exposure 1
04/14/2021,West Vancouver Secondary,West Vancouver,45,Vancouver Coastal Health,"""April 8, 9""",Exposure 16
04/14/2021,Panorama Park Elementary,Surrey,36,Fraser Health Authority,"""April 1, 8, 9""",Exposure 12
04/14/2021,Walnut Grove Secondary,Langley,35,Fraser Health Authority,April 12,Exposure 10
04/14/2021,Robert Bateman Secondary,Abbotsford,34,Fraser Health Authority,"""April 8, 9""",Exposure 10
04/14/2021,Thomas Haney Secondary,Maple Ridge,42,Fraser Health Authority,April 9,Exposure 9
04/14/2021,Abbotsford Traditional Senior Secondary,Abbotsford,34,Fraser Health Authority,April 8 and 9,Exposure 12
04/14/2021,William A. Fraser Middle School,Abbotsford,34,Fraser Health Authority,"""April 6, 7, 8, 9""",Exposure 6
04/14/2021,Abbotsford Traditional Middle School,Abbotsford,34,Fraser Health Authority,April 8,Exposure 12
04/14/2021,Colleen and Gordie Howe Middle School,Abbotsford,34,Fraser Health Authority,"""April 6, 7, 8, and 9""",Exposure 9
04/14/2021,Hillcrest Middle School,Coquitlam,43,Fraser Health Authority,April 7 and 9,Exposure 2
04/14/2021,Mount Baker Secondary,Cranbrook,5,Interior Health Authority,April 8 and 9,Exposure 2
04/14/2021,Clarence Fulton Secondary,Vernon,22,Interior Health Authority,"""April 6, 7, and 8""",Exposure 7
04/14/2021,Argyle Secondary,North Vancouver,44,Vancouver Coastal Health,"""April 6, 7, 8, 9, 12""",Exposure 12
04/14/2021,Chantrell Creek Elementary,Surrey,36,Fraser Health Authority,"""April 6, 7, 8""",Exposure 3
04/14/2021,Sandy Hill Elementary,Abbotsford,34,Fraser Health Authority,April 8,Exposure 2
04/14/2021,Argyle Secondary,North Vancouver,44,Vancouver Coastal Health,"""April 6, 7, 8, 9, 12""",Exposure 13
04/14/2021,Queen of All Saints Elementary,Coquitlam,Independent Schools in Fraser Health,Fraser Health Authority,April 8 and 9,Exposure 4
04/14/2021,Bothwell Elementary School,Surrey,36,Fraser Health Authority,April 8 and 9,Exposure 2
04/14/2021,Archbishop Carney Regional Secondary,Port Coquitlam,Independent Schools in Fraser Health,Fraser Health Authority,"""April 7, 8, and 9""",Exposure 11
04/14/2021,Gilpin Elementary,Burnaby,41,Fraser Health Authority,"""March 29, 30, 31, April 1, 6, 7, and 8""",Exposure 4
04/14/2021,Fraser Heights Secondary,Surrey,36,Fraser Health Authority,"""April 6, 7, and 8""",Exposure 9
04/14/2021,Sentinel Secondary,West Vancouver,45,Vancouver Coastal Health,April 9,Exposure 14
04/14/2021,Montecito Elementary,Burnaby,41,Fraser Health Authority,"""April 7, 8, and 9""",Exposure 4
04/14/2021,Vernon Secondary,Vernon,22,Interior Health Authority,"""April 6, 7, and 9""",Exposure 7
04/14/2021,de l'Anse-au-sable,Kelowna,93,Interior Health Authority,April 9,Exposure 4
04/14/2021,Chief Dan George Middle,Abbotsford,34,Fraser Health Authority,April 8 and 9,Exposure 11
04/14/2021,Cambridge Elementary,Surrey,36,Fraser Health Authority,"""April 6, 7""",Full class asked to isolate.
04/14/2021,Khalsa Elementary School Newton,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,April 8 and 9,Exposure 22
04/14/2021,Khalsa Secondary School (Surrey),Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""April 6, 8, and 9""",Exposure 10
04/14/2021,Lake City Secondary (Williams Lake Campus),Williams Lake,27,Interior Health Authority,April 9,Exposure 5
04/14/2021,North Canoe Elementary,,83,Interior Health Authority,April 8,Exposure 1
04/14/2021,Clayton Heights Secondary,Surrey,36,Fraser Health Authority,April 9,Exposure 13
04/14/2021,Okanagan Mission Secondary,Kelowna,23,Interior Health Authority,April 7 and 9,Exposure 13
04/14/2021,Cleveland Elementary,North Vancouver,44,Vancouver Coastal Health,April 8,Exposure 4
04/14/2021,Brookswood Secondary,Langley,35,Fraser Health Authority,April 8,Exposure 13
04/14/2021,Brookswood Secondary,Langley,35,Fraser Health Authority,April 6,Exposure 14
04/14/2021,J Lloyd Crowe Secondary,Trail,20,Interior Health Authority,April 9,Exposure 1
04/14/2021,Brooke Elementary,Delta,37,Fraser Health Authority,April 9,Exposure 6
04/14/2021,Ellison Elementary,Kelowna,23,Interior Health Authority,April 6 and 7,Exposure 2
04/14/2021,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,April 12,Exposure 17
04/14/2021,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,April 6,Exposure 49
04/14/2021,L A Matheson Secondary,Surrey,36,Fraser Health Authority,"""April 8, 9""",Different case then exposure 32
04/14/2021,Douglas Road Elementary,Burnaby,41,Fraser Health Authority,March 31 and April 1,We found this on the BCCDC webpage but it was listed under School District 36 (Surrey). Since we know it is actually located in School District 41 (Burnaby) we have listed it as such on our database.
04/14/2021,Kelowna Secondary School,Kelowna,23,Interior Health Authority,"""April 6, 7, 8, and 9""",https://www.castanet.net/news/Kelowna/331005/Exposure-at-five-schools
04/14/2021,Ecole Salish Secondary,Surrey,36,Fraser Health Authority,April 8 and 9,Exposure 9
04/14/2021,Pacific Academy Primary School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,April 8,Exposure 6
04/14/2021,Ecole Frank Ross Elementary,Dawson Creek,59,Northern Health,"""March 30, 31, April 1, and 2""",Exposure 4
04/14/2021,Devereaux Elementary,Dawson Creek,59,Northern Health,"""March 29, 30, 31, and April 1""",Exposure 2
04/14/2021,Traditional Learning Academy,Coquitlam,Independent Schools in Fraser Health,Fraser Health Authority,April 6 and 8,Exposure 1
04/14/2021,Ecole Alpha Secondary,Burnaby,41,Fraser Health Authority,"""April 7, 8, 9""",Exposure 10
04/14/2021,Ecole Mountainview Elementary (Terrace),Terrace,82,Northern Health,April 6,Exposure 4
04/14/2021,College Heights Secondary,Prince George,57,Northern Health,"""April 6, 7, and 8""",Exposure 6
04/14/2021,Tremblay Elementary,Dawson Creek,59,Northern Health,"""March 29, 30, 31, and April 1""",Exposure 2
04/14/2021,Sunnyside Elementary,Surrey,36,Fraser Health Authority,"""April 8, 9""",Exposure 5
